,UNKNOWN,DRY,WET,OTHER,SAND_MUD_DIRT
17776636,1,0,0,0,0
17776692,0,1,0,0,0
17776699,0,1,0,0,0
17777110,0,1,0,0,0
17777116,0,1,0,0,0
17777118,0,1,0,0,0
17777153,0,1,0,0,0
17779004,0,1,0,0,0
17780519,0,1,0,0,0
17780526,0,1,0,0,0
17782051,0,1,0,0,0
17782063,0,1,0,0,0
17782070,0,1,0,0,0
17783378,0,1,0,0,0
17783381,0,1,0,0,0
17783398,0,1,0,0,0
17783411,0,1,0,0,0
17783489,0,1,0,0,0
17783491,0,1,0,0,0
17786802,0,1,0,0,0
17786852,0,1,0,0,0
17786857,0,1,0,0,0
17787054,0,0,1,0,0
17787057,0,1,0,0,0
17787107,0,1,0,0,0
17787119,0,1,0,0,0
17787120,0,1,0,0,0
17787122,0,1,0,0,0
17787131,0,1,0,0,0
17787176,0,1,0,0,0
17788787,0,1,0,0,0
17790637,0,1,0,0,0
17793730,0,1,0,0,0
17793787,0,1,0,0,0
17797372,0,1,0,0,0
17797396,0,1,0,0,0
17798065,0,1,0,0,0
17798303,0,1,0,0,0
17799175,0,1,0,0,0
17799190,0,1,0,0,0
17799195,0,1,0,0,0
17799199,0,1,0,0,0
17801435,0,1,0,0,0
17801436,0,1,0,0,0
17801454,0,1,0,0,0
17801473,0,1,0,0,0
17801840,0,1,0,0,0
17801841,0,1,0,0,0
17801842,0,1,0,0,0
17802778,0,1,0,0,0
17802792,0,1,0,0,0
17803451,0,1,0,0,0
17803609,0,1,0,0,0
17804137,0,1,0,0,0
17804149,0,1,0,0,0
17804152,0,1,0,0,0
17804177,0,1,0,0,0
17804179,0,1,0,0,0
17806939,0,1,0,0,0
17806984,0,1,0,0,0
17806992,0,0,0,0,1
17807124,0,1,0,0,0
17807216,0,1,0,0,0
17807260,0,1,0,0,0
17807262,0,1,0,0,0
17807267,0,1,0,0,0
17807317,0,1,0,0,0
17807322,0,1,0,0,0
17807346,0,1,0,0,0
17807353,0,1,0,0,0
17809467,0,1,0,0,0
17809492,0,1,0,0,0
17811430,0,1,0,0,0
17811448,0,1,0,0,0
17811449,0,1,0,0,0
17811458,0,1,0,0,0
17811492,0,1,0,0,0
17813016,0,1,0,0,0
17813025,0,1,0,0,0
17814495,0,1,0,0,0
17814498,0,1,0,0,0
17814500,0,1,0,0,0
17814519,0,1,0,0,0
17815087,0,1,0,0,0
17817645,0,1,0,0,0
17817656,0,1,0,0,0
17817780,0,1,0,0,0
17817783,0,1,0,0,0
17817784,0,1,0,0,0
17817872,0,1,0,0,0
17820101,0,1,0,0,0
17821195,0,1,0,0,0
17821856,0,1,0,0,0
17821876,0,1,0,0,0
17821880,0,1,0,0,0
17823305,0,1,0,0,0
17823318,0,1,0,0,0
17824724,0,1,0,0,0
17824749,0,1,0,0,0
17824765,0,1,0,0,0
17828023,0,1,0,0,0
17828057,0,1,0,0,0
17828059,0,1,0,0,0
17828062,0,1,0,0,0
17828152,0,1,0,0,0
17829253,0,1,0,0,0
17829566,0,1,0,0,0
17829569,0,1,0,0,0
17829572,0,1,0,0,0
17830458,0,1,0,0,0
17831182,0,1,0,0,0
17833737,0,1,0,0,0
17833759,0,1,0,0,0
17834303,0,1,0,0,0
17835043,0,1,0,0,0
17835044,0,1,0,0,0
17835052,0,1,0,0,0
17835055,0,1,0,0,0
17835066,0,1,0,0,0
17835074,0,1,0,0,0
17835076,0,1,0,0,0
17835080,0,1,0,0,0
17835121,0,1,0,0,0
17835128,0,1,0,0,0
17835213,0,1,0,0,0
17835739,0,1,0,0,0
17835741,0,1,0,0,0
17838054,0,1,0,0,0
